url	directory	proof_assistant	transport	sync_group	discovered_via
https://github.com/CBirkbeck/ModularForms_Lean4	CBirkbeck__ModularForms_Lean4	lean	git	routine	registry
https://github.com/CBirkbeck/uniform-sheafy-tate-domains-lean	CBirkbeck__uniform-sheafy-tate-domains-lean	lean	git	routine	registry
https://github.com/celioboulay/expander-graphs	reservoir-sources/celioboulay__expander-graphs	lean	git	bulk	reservoir
https://github.com/CharlesHoskinson/proof-zk-recovery	reservoir-sources/CharlesHoskinson__proof-zk-recovery	lean	git	bulk	reservoir
https://github.com/chords-project/itc-course	reservoir-sources/chords-project__itc-course	lean	git	bulk	reservoir
https://github.com/chrisflav/bruhat-tits	reservoir-sources/chrisflav__bruhat-tits	lean	git	bulk	reservoir
https://github.com/chrisflav/proetale	reservoir-sources/chrisflav__proetale	lean	git	bulk	reservoir
https://github.com/Clap-lang/clap-lean	reservoir-sources/Clap-lang__clap-lean	lean	git	bulk	reservoir
https://github.com/codyroux/traat-lean	reservoir-sources/codyroux__traat-lean	lean	git	bulk	reservoir
https://github.com/Command-Master/lean-bourgain	reservoir-sources/Command-Master__lean-bourgain	lean	git	bulk	reservoir
https://github.com/compiler64/category-theory-notes	reservoir-sources/compiler64__category-theory-notes	lean	git	bulk	reservoir
https://github.com/cryspen/hax-lean	reservoir-sources/cryspen__hax-lean	lean	git	bulk	reservoir
https://github.com/ctchou/AutomataTheory	reservoir-sources/ctchou__AutomataTheory	lean	git	bulk	reservoir
https://github.com/dagurtomas/lean-solid	dagurtomas__lean-solid	lean	git	routine	registry
https://github.com/dagurtomas/LeanCondensed	reservoir-sources/dagurtomas__LeanCondensed	lean	git	bulk	reservoir
https://github.com/dannypsnl/violet-legacy	reservoir-sources/dannypsnl__violet-legacy	lean	git	bulk	reservoir
https://github.com/dappalumbo91/FSOT-2.1-Lean	reservoir-sources/dappalumbo91__FSOT-2.1-Lean	lean	git	bulk	reservoir
https://github.com/datokrat/lean-iterators	reservoir-sources/datokrat__lean-iterators	lean	git	bulk	reservoir
https://github.com/DavePearce/LeanEVM	reservoir-sources/DavePearce__LeanEVM	lean	git	bulk	reservoir
https://github.com/davidturturean/erdos-870	reservoir-sources/davidturturean__erdos-870	lean	git	bulk	reservoir
https://github.com/Deducteam/lean2dk	reservoir-sources/Deducteam__lean2dk	lean	git	bulk	reservoir
https://github.com/DhyeyMavani2003/chip-firing-with-lean	reservoir-sources/DhyeyMavani2003__chip-firing-with-lean	lean	git	bulk	reservoir
https://github.com/DiagonaLean/DiagonaLean	reservoir-sources/DiagonaLean__DiagonaLean	lean	git	bulk	reservoir
https://github.com/digama0/lean4lean	reservoir-sources/digama0__lean4lean	lean	git	bulk	reservoir
https://github.com/djvelleman/HTPILeanPackage	djvelleman__HTPILeanPackage	lean	git	routine	registry
https://github.com/Dominique-Lawson/Directed-Topology-Lean-4	reservoir-sources/Dominique-Lawson__Directed-Topology-Lean-4	lean	git	bulk	reservoir
https://github.com/draperlaboratory/ELFSage	reservoir-sources/draperlaboratory__ELFSage	lean	git	bulk	reservoir
https://github.com/dududuguo/HighDimProb	reservoir-sources/dududuguo__HighDimProb	lean	git	bulk	reservoir
https://github.com/dwrensha/animate-lean-proofs	reservoir-sources/dwrensha__animate-lean-proofs	lean	git	bulk	reservoir
https://github.com/dwrensha/Chess.lean	reservoir-sources/dwrensha__Chess.lean	lean	git	bulk	reservoir
https://github.com/dwrensha/compfiles	dwrensha__compfiles	lean	git	routine	registry
https://github.com/dwrensha/lean4-maze	reservoir-sources/dwrensha__lean4-maze	lean	git	bulk	reservoir
https://github.com/dwrensha/Rupert.lean	reservoir-sources/dwrensha__Rupert.lean	lean	git	bulk	reservoir
https://github.com/ecyrbe/lean-units	reservoir-sources/ecyrbe__lean-units	lean	git	bulk	reservoir
https://github.com/edwin1729/bppl-logic	reservoir-sources/edwin1729__bppl-logic	lean	git	bulk	reservoir
https://github.com/ejgallego/imp-lab	reservoir-sources/ejgallego__imp-lab	lean	git	bulk	reservoir
https://github.com/elazarg/GameTheory	reservoir-sources/elazarg__GameTheory	lean	git	bulk	reservoir
https://github.com/ElifUskuplu/Stlc_deBruijn	reservoir-sources/ElifUskuplu__Stlc_deBruijn	lean	git	bulk	reservoir
https://github.com/ElNando888/KrafftSieve	reservoir-sources/ElNando888__KrafftSieve	lean	git	bulk	reservoir
https://github.com/emilyriehl/infinity-cosmos	emilyriehl__infinity-cosmos	lean	git	routine	registry
